Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,6.5,6.6,7.9,1.4,11.6,0.5,5.4,14.7,1.6,7.0,0.7,4.5,0.5,9.6,0.5,3.2,5.8,5.5,4.0,1.3,0.9,2.9,1.1,0.6,1.9,1.7,0.7,1.5,2.0,31.7,1.0,6.1,6.2,1.3,2.5,17.4,3.8,4.0,8.9,1.9,34.2,5.1,3.3,4.2,1.4,9.4,0.7,5.8,5.3,3.9,11.8
2001,7.4,7.5,9.2,1.6,12.5,0.6,6.1,15.9,1.8,8.1,0.7,4.8,0.5,10.7,0.5,3.6,5.6,5.7,4.4,1.3,0.9,3.6,1.3,0.7,2.4,1.4,0.8,1.5,1.7,33.4,1.2,6.4,6.7,1.4,2.7,19.4,4.0,4.3,10.3,2.2,37.6,5.9,3.3,4.7,1.5,10.5,0.7,6.2,5.8,4.2,12.6
2002,8.4,8.1,11.1,1.8,14.3,0.6,6.5,17.4,2.0,7.1,0.8,5.5,0.5,11.6,0.6,3.7,6.0,6.6,4.8,1.4,0.9,3.8,1.4,0.8,2.6,3.8,1.0,1.5,2.2,36.1,1.5,7.5,7.2,1.7,3.0,21.9,4.5,5.0,11.4,2.5,41.1,6.7,4.6,5.2,1.7,11.0,0.8,6.8,6.6,4.8,13.9
2003,9.1,8.5,11.3,1.8,15.6,0.7,7.1,19.7,2.2,6.4,0.8,5.9,0.5,11.4,0.6,3.9,5.6,7.0,5.2,1.5,1.1,4.0,1.5,0.8,2.7,3.8,1.1,1.6,2.4,41.1,1.6,7.8,7.7,1.9,3.2,24.6,4.8,4.0,11.4,2.8,46.3,7.0,5.2,5.4,1.9,11.0,0.9,7.2,7.6,5.3,16.7
2004,10.0,9.2,12.7,2.0,17.0,0.8,7.6,22.3,2.4,11.0,0.9,6.8,0.6,12.1,0.7,4.5,7.1,7.6,5.7,1.6,1.3,4.6,1.7,1.1,2.8,4.1,1.2,1.8,2.6,44.3,1.8,11.2,8.0,1.9,3.5,25.2,4.7,3.9,13.0,2.9,48.9,7.5,5.8,5.8,2.2,12.8,1.1,7.9,8.1,5.8,17.9
2005,10.9,9.6,12.6,2.2,18.4,1.0,8.7,24.0,2.7,11.2,1.0,7.2,0.6,14.1,0.7,4.7,7.7,8.2,6.1,1.8,1.4,4.6,1.9,1.2,3.3,4.3,1.3,1.8,2.7,47.3,1.9,12.3,8.6,2.2,3.7,27.0,4.9,4.3,13.7,3.5,53.0,8.2,6.9,6.0,2.2,14.9,1.2,9.0,8.9,6.3,20.6
2006,10.0,9.8,12.7,2.4,20.1,1.0,9.3,25.2,2.8,12.2,1.1,7.6,0.6,14.6,0.7,5.1,7.7,8.7,6.0,1.9,1.2,5.0,2.1,1.3,3.7,4.7,1.4,1.9,2.7,48.7,2.2,12.6,8.7,2.3,3.9,27.9,5.3,4.8,13.9,3.5,53.2,8.5,7.1,6.4,2.5,14.9,1.4,8.8,9.3,6.9,20.7
2007,10.4,10.5,14.6,2.6,19.9,1.1,9.4,25.9,3.0,13.1,1.1,7.8,0.6,15.5,0.7,5.5,8.4,9.1,6.5,2.2,1.3,5.5,2.2,1.4,4.4,5.2,1.4,1.8,2.8,50.2,2.0,13.2,8.6,2.6,4.3,30.1,5.4,4.7,14.8,4.2,55.7,8.3,7.6,6.7,2.6,15.6,1.4,9.6,10.0,7.3,21.6
2008,11.0,11.5,15.2,2.7,19.3,1.2,10.0,28.2,3.2,13.7,1.2,8.1,0.6,16.9,0.8,6.0,9.7,10.5,7.0,2.5,1.4,5.7,2.4,1.6,4.8,5.7,1.4,2.3,2.9,50.0,2.2,14.0,8.8,2.6,4.5,33.7,6.0,5.1,15.9,4.7,60.5,9.0,8.5,7.5,2.6,17.6,1.6,10.2,10.7,7.6,21.8
2009,11.0,12.6,14.3,2.8,20.4,1.2,10.6,29.4,3.4,14.3,1.3,9.0,0.6,18.3,0.8,6.7,10.4,10.2,7.8,2.5,1.6,6.4,2.5,1.6,5.1,6.0,1.7,2.5,3.2,53.9,2.1,14.6,9.9,2.9,4.6,37.5,6.5,5.7,17.1,5.1,64.6,10.0,9.2,8.4,2.9,18.9,1.8,10.5,11.8,8.5,23.6
2010,12.4,13.3,15.2,2.9,21.4,1.3,11.8,31.8,3.5,14.9,1.4,9.8,0.8,19.1,0.9,7.0,10.9,10.9,7.9,2.7,1.7,6.7,2.7,1.7,5.3,6.3,1.9,2.6,3.3,58.2,2.3,15.6,11.1,2.8,4.9,41.0,6.4,6.3,17.8,5.7,63.4,10.8,10.1,8.6,3.0,18.9,1.8,11.3,12.3,8.7,25.8
2011,12.8,13.8,15.9,2.7,23.1,1.4,12.4,33.4,3.6,16.1,1.5,10.3,0.9,19.7,0.9,7.3,10.9,11.3,8.4,3.0,1.7,7.4,2.9,1.9,5.7,6.5,2.1,2.8,3.5,59.8,2.3,15.7,11.0,3.0,5.2,43.7,7.0,7.1,18.2,5.7,79.9,11.6,10.6,8.8,2.9,19.2,1.8,12.0,12.6,9.0,27.5
2012,13.0,14.0,16.1,2.9,23.6,1.5,12.6,33.2,3.8,16.3,1.5,9.9,0.9,21.6,0.9,8.0,10.6,11.6,8.4,2.9,1.6,7.9,2.5,2.0,6.0,7.1,2.2,3.0,3.6,61.4,2.3,16.5,11.1,3.2,5.9,45.0,7.3,7.6,18.6,5.4,76.5,12.5,10.3,8.8,3.1,18.5,1.9,11.6,13.8,9.7,27.3
2013,12.8,14.5,16.7,3.1,24.4,1.6,13.9,33.5,4.0,16.5,1.6,10.8,1.0,23.9,1.0,8.4,11.5,14.2,8.9,3.0,1.5,8.8,2.7,2.1,6.4,7.4,2.3,3.2,3.8,69.5,2.4,16.4,11.5,3.4,6.0,45.5,7.9,7.9,18.8,5.4,85.6,13.0,10.4,8.6,3.1,20.8,2.0,12.1,13.4,9.9,28.1
2014,12.6,15.8,17.4,3.0,25.7,1.6,14.3,36.0,4.3,16.2,1.6,11.3,1.0,21.5,0.9,8.7,12.1,13.3,8.9,3.5,1.4,10.0,2.7,2.3,6.7,7.6,2.2,3.5,3.9,66.6,2.3,16.2,11.5,3.6,6.6,47.0,7.7,9.5,18.7,5.6,91.3,13.1,11.3,9.9,3.5,18.9,1.8,12.9,13.9,10.6,28.5
2015,12.4,16.7,17.9,2.9,26.8,1.6,14.6,38.4,4.7,15.7,1.6,12.0,1.1,20.5,0.9,9.0,13.1,12.4,9.0,3.7,1.4,10.7,2.8,2.5,7.0,7.8,2.0,3.8,4.2,64.6,2.1,15.9,11.6,3.8,7.0,48.5,7.6,10.1,18.8,5.7,97.2,13.2,11.9,11.2,3.7,17.9,1.7,13.4,14.3,11.7,29.0
