Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,2.0,3.5,2.4,0.7,4.8,0.4,2.6,3.6,0.8,3.8,0.3,2.9,0.3,3.3,0.2,1.2,1.1,2.2,0.7,0.8,0.5,1.7,0.4,0.3,0.7,0.9,0.8,0.5,0.6,14.4,0.9,4.3,1.5,0.7,0.8,6.0,1.8,1.9,4.9,0.6,24.8,1.7,1.6,1.4,0.8,6.7,0.1,1.2,3.6,2.4,8.4
2001,2.3,3.7,2.4,0.8,5.5,0.4,2.8,4.4,0.7,4.1,0.4,3.2,0.4,3.7,0.3,1.4,1.2,2.5,0.8,0.8,0.5,1.9,0.4,0.4,0.8,1.0,0.8,0.7,0.6,15.6,0.9,4.6,1.6,0.8,0.9,5.8,1.9,2.1,5.7,0.7,27.1,2.0,1.6,1.5,0.8,7.3,0.2,1.3,3.9,2.6,9.4
2002,2.7,5.0,3.0,0.8,6.7,0.4,2.9,5.1,0.9,5.3,0.4,3.6,0.3,4.3,0.3,1.5,1.4,2.9,1.0,0.8,0.6,2.2,0.5,0.5,1.1,1.1,0.7,0.8,0.8,17.2,1.0,5.8,1.9,1.0,1.1,7.2,2.1,2.7,6.6,0.7,28.7,2.3,1.5,1.8,0.9,8.7,0.2,1.5,4.6,2.8,10.4
2003,3.0,5.9,4.0,1.1,7.6,0.6,4.1,6.6,1.1,6.3,0.5,4.2,0.4,4.8,0.4,1.7,1.9,3.2,1.2,0.9,0.7,2.8,0.6,0.5,1.3,1.6,0.8,0.9,0.8,18.5,1.0,6.5,2.4,1.1,1.3,9.0,2.6,3.3,7.5,0.9,34.7,2.5,1.8,2.1,1.0,9.6,0.3,1.9,5.2,3.7,10.2
2004,2.7,4.9,2.8,1.0,7.4,0.6,3.7,5.7,1.0,4.8,0.4,3.8,0.4,4.7,0.3,1.3,1.5,3.0,0.9,0.8,0.7,2.2,0.5,0.5,1.4,1.2,1.0,0.9,0.6,17.7,1.0,5.6,2.1,1.1,1.1,7.3,2.6,2.9,7.4,0.8,32.4,2.4,2.0,1.9,1.0,9.2,0.2,1.5,4.2,3.1,9.8
2005,2.7,4.2,2.7,1.0,7.0,0.5,3.5,8.2,0.9,4.0,0.4,3.5,0.3,3.6,0.4,1.3,1.6,3.1,0.8,0.8,0.7,2.1,0.5,0.5,1.1,1.2,0.8,1.1,0.5,17.5,1.0,5.4,1.3,1.0,0.9,6.6,2.4,2.4,5.5,0.8,33.2,2.4,2.0,1.8,1.1,7.4,0.2,1.4,4.0,3.1,9.6
2006,2.7,3.7,3.2,0.9,7.0,0.4,3.7,8.0,0.9,4.0,0.4,3.5,0.3,3.2,0.4,1.3,2.4,3.3,1.0,0.8,0.7,2.1,0.5,0.6,0.9,1.2,0.8,1.2,0.5,17.4,0.8,6.0,1.3,1.0,1.0,7.1,2.5,2.3,5.3,0.8,34.9,2.2,2.0,1.8,1.0,7.2,0.2,1.4,3.5,3.1,9.5
2007,3.0,3.9,3.3,1.0,7.8,0.5,4.0,7.1,0.9,5.4,0.4,3.7,0.4,3.6,0.4,1.3,4.4,3.3,0.9,0.8,0.7,2.2,0.5,0.6,0.9,1.4,0.8,1.5,0.6,18.8,0.9,6.1,1.4,1.1,1.1,6.4,2.6,2.4,5.5,0.7,37.2,2.4,2.4,1.9,0.9,7.8,0.2,1.5,3.8,3.4,9.7
2008,3.0,4.3,3.7,1.1,8.6,0.5,4.2,7.5,1.0,5.6,0.5,3.8,0.4,4.1,0.4,1.4,6.7,3.2,1.0,0.9,0.8,2.5,0.6,0.6,1.0,1.4,0.8,1.6,0.6,19.4,0.9,6.6,1.4,1.3,1.1,6.8,2.7,2.5,5.6,0.7,40.9,2.6,2.7,1.9,1.0,8.3,0.3,1.8,4.0,3.7,10.4
2009,3.7,5.7,4.6,1.1,10.4,0.6,4.7,8.8,1.4,7.6,0.6,4.9,0.5,5.5,0.5,1.7,4.2,4.5,1.1,1.2,0.9,3.0,0.8,0.7,1.3,1.7,0.9,1.5,0.7,21.8,1.0,8.3,1.7,1.9,1.3,9.1,3.4,3.5,7.3,0.9,45.6,3.0,3.1,2.5,1.1,10.0,0.3,2.2,4.6,4.6,12.4
2010,4.2,8.3,6.4,1.4,13.2,0.7,5.7,13.0,2.0,10.3,0.9,6.4,0.5,8.3,0.5,2.3,4.3,5.7,1.7,1.4,1.2,4.3,1.1,0.9,2.1,2.5,1.2,1.9,1.1,27.9,1.3,12.7,2.3,3.1,1.9,13.8,4.7,5.0,10.7,1.4,48.7,4.0,4.2,3.4,1.3,13.9,0.5,3.1,6.2,5.8,16.5
2011,4.4,7.6,5.8,1.4,12.4,0.6,5.4,12.3,1.8,9.6,0.8,5.7,0.5,7.6,0.5,2.0,3.7,5.2,1.5,1.3,1.0,4.3,1.0,0.8,1.7,2.3,1.2,1.8,1.1,27.4,1.3,12.2,2.3,2.7,1.7,13.4,4.6,4.5,8.8,1.4,55.6,3.4,3.8,3.2,1.3,12.8,0.4,2.7,5.5,5.7,15.4
