Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,8.5,11.8,14.9,3.3,21.0,1.3,13.3,23.1,4.3,11.7,1.7,11.6,1.3,14.3,1.2,6.1,7.3,11.7,4.9,1.9,2.1,8.0,2.2,1.7,5.0,5.9,1.8,1.0,3.2,41.4,1.9,19.0,7.8,3.1,4.2,39.5,6.8,6.6,22.8,3.7,64.4,9.3,8.0,6.4,2.3,23.2,1.1,7.2,10.4,10.2,23.4
2001,8.9,12.5,16.4,3.6,22.6,1.4,14.3,24.8,4.8,12.7,1.7,12.4,1.3,15.1,1.3,6.3,7.6,12.2,5.0,2.2,2.3,8.6,2.3,1.8,5.4,6.4,2.0,1.1,3.3,45.4,2.1,20.2,8.1,3.5,4.6,42.6,7.6,7.0,23.7,3.9,71.4,10.0,8.5,6.7,2.4,24.6,1.2,7.8,11.0,11.3,24.2
2002,9.6,13.1,17.5,3.8,24.0,1.5,15.4,26.2,5.3,13.7,1.8,12.8,1.3,15.4,1.4,6.6,8.1,12.5,5.1,2.3,2.5,9.2,2.5,2.0,5.6,7.0,2.1,1.2,3.5,48.5,2.2,20.8,8.4,3.8,4.8,46.1,8.0,7.7,24.1,4.2,77.9,10.7,8.9,6.9,2.5,26.5,1.3,8.5,11.4,12.5,24.5
2003,9.6,13.8,18.4,3.9,25.6,1.7,15.7,28.2,5.2,13.9,1.9,13.1,1.4,16.1,1.4,6.8,8.5,13.3,5.3,2.4,2.6,9.6,2.5,2.1,5.9,7.3,2.3,1.3,3.8,50.2,2.3,23.3,8.8,3.9,5.2,47.9,8.8,7.7,25.0,4.4,82.1,10.8,9.5,7.3,2.7,27.4,1.4,9.0,11.9,12.7,26.8
2004,10.0,14.6,19.4,4.1,27.0,1.8,16.4,29.9,5.5,14.9,2.0,13.6,1.5,17.4,1.4,7.1,8.7,13.9,5.7,2.5,2.8,9.9,2.7,2.2,6.2,7.0,2.3,1.4,3.8,52.5,2.5,25.0,9.5,4.3,5.5,50.1,8.9,7.7,27.4,4.7,85.6,11.0,10.2,7.8,2.9,28.8,1.5,9.1,12.1,12.7,29.0
2005,10.5,14.8,20.1,4.2,28.0,1.9,17.9,32.6,5.6,15.3,2.0,14.0,1.6,18.9,1.5,7.4,9.1,15.0,5.9,2.7,2.9,10.3,2.8,2.5,6.2,7.6,2.4,1.5,4.0,54.8,2.6,27.0,9.9,4.6,5.9,53.2,9.3,8.0,27.5,4.9,89.9,11.6,11.0,8.7,2.9,29.2,1.6,9.9,12.4,13.7,30.4
2006,11.0,15.7,21.4,4.4,29.3,2.0,19.5,35.9,6.0,16.4,2.2,14.6,1.7,20.1,1.6,7.9,9.3,15.3,6.5,2.9,3.2,11.1,2.9,2.7,6.7,8.1,2.5,1.5,4.3,58.3,2.7,29.6,10.9,5.2,6.4,56.4,10.1,8.5,26.7,5.3,93.9,12.2,12.0,9.3,3.0,30.0,1.7,10.7,13.4,14.6,31.6
2007,11.5,16.9,23.4,4.8,30.4,2.2,21.3,40.1,6.5,17.1,2.4,15.1,1.8,21.0,1.6,8.2,10.3,16.0,6.8,3.3,3.3,11.8,3.0,2.8,7.2,8.8,2.6,1.6,4.6,61.8,2.8,30.0,12.1,5.8,6.8,59.5,10.8,8.8,28.7,5.8,99.8,13.0,13.2,9.8,3.1,31.3,2.1,11.5,14.1,16.0,32.1
2008,12.5,18.4,25.9,5.1,31.3,2.2,23.1,42.0,7.6,17.6,2.5,15.8,1.9,22.2,1.8,8.8,12.0,16.0,7.2,3.5,3.5,12.9,3.2,2.9,7.6,9.2,3.0,2.3,4.7,65.6,3.0,30.9,13.2,6.4,7.1,66.4,11.3,9.8,28.8,6.3,105.2,14.3,14.3,10.8,3.2,33.4,2.3,12.4,15.0,17.4,33.6
2009,13.0,19.4,26.0,5.5,31.8,2.3,22.7,40.1,7.9,18.5,2.6,16.4,1.9,23.6,2.0,9.4,12.4,16.7,7.5,3.6,3.5,13.0,3.3,3.0,8.5,9.7,3.3,2.3,4.9,69.9,3.0,32.1,13.5,6.0,7.5,70.9,11.9,10.7,28.5,6.7,105.3,14.7,14.2,10.8,3.3,35.3,2.5,12.6,16.2,17.6,34.7
2010,13.1,18.7,25.2,5.7,33.2,2.4,22.9,39.0,7.5,18.6,2.6,17.1,2.2,23.7,2.1,9.4,12.2,17.0,7.5,3.3,3.6,13.5,3.3,3.0,8.6,10.2,3.3,2.5,5.3,71.8,3.1,32.2,13.3,5.7,8.0,74.9,11.7,10.5,29.4,6.6,104.7,14.5,13.6,11.3,3.4,35.3,2.5,12.4,15.6,18.4,35.4
