Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,1.2,1.6,2.1,0.4,3.6,0.2,2.0,4.4,0.8,1.7,0.3,1.5,0.2,1.6,0.2,0.7,1.1,1.6,0.6,0.5,0.3,1.3,0.4,0.4,1.0,0.7,0.5,0.3,0.5,6.5,0.3,2.6,0.9,0.7,0.6,4.1,1.4,1.4,2.8,0.6,13.5,1.1,1.5,0.8,0.4,3.7,0.2,0.9,1.6,1.6,3.2
2001,1.2,1.6,2.2,0.4,3.7,0.3,2.1,4.7,0.8,2.0,0.3,1.5,0.2,1.7,0.2,0.8,1.2,1.6,0.6,0.5,0.3,1.4,0.4,0.4,1.1,0.8,0.5,0.4,0.5,7.1,0.4,2.6,0.9,0.8,0.6,4.4,1.3,1.5,2.8,0.6,14.4,1.2,1.6,0.9,0.4,3.9,0.2,1.2,1.7,1.6,3.3
2002,1.2,1.7,2.4,0.4,4.7,0.3,2.3,4.9,0.9,2.1,0.3,1.6,0.2,1.7,0.2,0.8,1.4,1.9,0.6,0.5,0.4,1.5,0.4,0.4,0.9,0.9,0.5,0.4,0.6,7.5,0.4,2.8,1.0,0.9,0.7,4.5,1.4,1.6,2.9,0.6,15.6,1.3,1.6,1.0,0.4,4.1,0.2,1.3,1.7,1.6,3.4
2003,1.3,1.8,2.5,0.5,4.6,0.3,2.3,5.2,1.0,2.1,0.4,1.5,0.2,1.8,0.2,0.8,1.5,1.7,0.7,0.6,0.4,1.6,0.4,0.4,1.0,1.0,0.5,0.4,0.7,7.8,0.4,2.8,1.0,0.9,0.7,4.9,1.5,1.6,2.9,0.7,17.5,1.6,1.7,1.0,0.4,4.2,0.3,1.4,1.8,1.6,4.3
2004,1.3,1.8,2.7,0.5,4.5,0.2,2.3,5.9,1.0,2.3,0.3,1.6,0.2,1.8,0.2,0.8,1.6,1.8,0.8,0.6,0.4,1.6,0.5,0.5,0.9,0.9,0.6,0.4,0.7,7.8,0.4,3.1,1.0,0.9,0.8,5.0,1.4,1.5,3.0,0.7,17.5,1.5,1.7,1.0,0.4,4.2,0.3,1.5,1.9,1.6,4.2
2005,1.5,1.9,2.7,0.5,4.7,0.2,2.5,6.4,1.2,2.3,0.4,1.6,0.2,2.0,0.2,0.8,1.5,1.8,0.8,0.6,0.4,1.7,0.5,0.5,0.9,0.9,0.6,0.4,0.8,8.5,0.5,3.2,1.1,1.2,0.8,5.2,1.5,1.5,3.1,0.8,17.7,1.5,2.0,1.0,0.4,4.3,0.3,1.6,2.0,2.4,4.5
2006,1.6,1.9,2.8,0.5,5.0,0.2,2.7,7.3,1.2,2.3,0.4,1.7,0.2,2.1,0.3,0.9,1.6,1.8,0.8,0.6,0.4,1.9,0.5,0.6,1.0,1.1,0.7,0.5,0.8,8.7,0.5,3.3,1.1,1.2,0.8,5.4,1.5,1.7,3.2,0.8,18.5,1.4,2.2,1.2,0.5,4.2,0.3,1.6,1.9,2.3,4.7
2007,1.7,2.2,3.1,0.5,4.9,0.2,2.9,8.0,1.3,2.5,0.5,1.7,0.2,2.3,0.3,0.9,1.8,1.9,0.8,0.7,0.5,2.3,0.6,0.7,0.9,1.2,0.7,0.5,0.7,9.5,0.6,3.4,1.3,1.3,0.9,5.8,1.7,1.7,3.1,0.9,21.0,1.5,2.4,1.2,0.5,4.5,0.4,1.8,2.0,2.3,5.0
2008,1.8,2.3,3.4,0.6,5.1,0.2,3.0,7.7,1.3,2.6,0.5,1.8,0.2,2.7,0.3,1.0,2.0,2.0,0.9,0.7,0.5,2.3,0.7,0.6,1.1,1.2,0.8,0.5,0.8,11.0,0.5,3.5,1.4,1.4,1.0,6.0,1.8,1.7,3.0,1.0,21.9,1.5,2.6,1.4,0.5,4.4,0.5,2.0,2.1,2.6,5.3
2009,2.0,2.4,3.5,0.6,5.3,0.3,3.2,7.3,1.4,2.8,0.5,1.7,0.2,2.8,0.4,1.0,2.1,2.0,0.9,0.8,0.5,2.4,0.7,0.6,1.1,1.2,0.9,0.6,0.8,10.6,0.6,3.6,1.5,1.5,0.9,6.4,1.8,1.9,2.9,1.1,21.8,1.5,2.4,1.4,0.5,4.7,0.5,1.9,2.3,2.7,5.7
