Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,0.8,1.4,1.1,0.2,2.1,0.1,1.7,3.8,0.4,2.5,0.2,1.4,0.1,1.3,0.2,0.4,1.0,1.0,0.5,0.6,0.4,1.2,0.2,0.3,0.5,0.5,0.4,0.2,0.4,9.3,0.3,2.2,0.8,0.5,0.4,4.6,1.3,0.9,2.1,0.4,7.5,1.0,1.0,1.3,0.3,3.6,0.1,0.7,1.4,1.4,3.9
2001,0.9,1.5,1.1,0.2,2.4,0.2,1.8,4.0,0.4,2.9,0.2,1.4,0.2,1.3,0.2,0.4,1.0,1.1,0.5,0.4,0.3,1.2,0.2,0.3,0.6,0.5,0.4,0.2,0.4,8.8,0.4,2.3,0.8,0.7,0.4,4.8,1.4,0.8,2.3,0.4,7.9,1.0,1.1,1.4,0.3,3.9,0.1,0.8,1.4,1.5,3.9
2002,0.9,1.5,1.1,0.3,2.7,0.2,1.7,4.2,0.4,3.2,0.2,1.5,0.2,1.3,0.2,0.4,1.1,1.2,0.5,0.6,0.4,1.3,0.2,0.3,0.6,0.5,0.4,0.2,0.4,8.3,0.3,2.4,0.8,0.7,0.4,5.0,1.4,0.7,2.4,0.4,8.7,1.0,1.1,1.5,0.3,3.9,0.1,1.2,1.5,1.4,4.0
2003,0.9,1.6,1.1,0.3,2.8,0.2,1.7,4.4,0.4,3.0,0.2,1.5,0.2,1.3,0.2,0.4,1.2,1.2,0.5,0.5,0.4,1.4,0.2,0.3,0.7,0.6,0.4,0.3,0.4,8.4,0.3,2.4,0.9,0.7,0.4,5.4,1.6,0.8,2.5,0.4,9.3,1.1,1.1,1.5,0.3,4.3,0.1,0.9,1.5,1.5,4.3
2004,0.9,1.7,1.1,0.3,2.9,0.2,1.8,4.7,0.4,3.3,0.2,1.6,0.2,1.3,0.2,0.4,1.3,1.3,0.5,0.5,0.4,1.5,0.2,0.3,0.7,0.6,0.4,0.3,0.4,8.1,0.3,2.7,0.9,0.7,0.4,5.9,1.6,0.9,2.7,0.3,9.9,1.2,1.1,1.5,0.4,5.0,0.1,1.0,1.6,1.4,4.6
2005,0.9,1.7,1.1,0.3,2.9,0.2,1.7,4.7,0.5,3.5,0.2,1.6,0.2,1.2,0.1,0.5,1.2,1.4,0.5,0.5,0.4,1.5,0.2,0.3,0.7,0.6,0.4,0.3,0.4,8.3,0.3,2.6,0.9,0.7,0.4,5.5,1.4,1.0,2.7,0.4,10.5,1.4,1.1,1.2,0.3,4.6,0.1,1.0,1.5,1.4,4.2
2006,1.0,1.8,1.1,0.3,3.1,0.2,1.9,4.4,0.4,3.6,0.2,1.7,0.2,1.4,0.2,0.5,1.2,1.4,0.5,0.6,0.5,1.7,0.2,0.2,0.8,0.7,0.4,0.3,0.4,8.9,0.3,3.1,0.8,0.7,0.4,6.1,1.4,1.1,2.7,0.5,11.7,1.5,1.3,1.3,0.3,4.7,0.1,1.0,1.6,1.4,4.3
2007,1.1,2.0,1.3,0.3,3.3,0.2,1.8,4.8,0.5,4.0,0.2,1.7,0.2,1.5,0.2,0.6,1.4,1.7,0.5,0.6,0.5,1.7,0.2,0.3,0.8,0.6,0.4,0.4,0.3,9.6,0.5,3.3,1.0,0.7,0.4,7.3,1.5,1.2,2.9,0.5,12.9,1.7,1.3,1.3,0.3,5.2,0.1,1.1,1.6,1.6,4.5
2008,1.1,2.2,1.4,0.4,3.2,0.2,2.0,5.2,0.5,4.2,0.3,1.9,0.2,1.9,0.2,0.7,1.6,1.7,0.5,0.6,0.5,2.1,0.3,0.3,1.2,0.7,0.4,0.4,0.4,9.9,0.5,3.5,1.0,0.8,0.5,8.3,1.6,1.2,3.0,0.5,13.5,1.8,1.8,1.6,0.3,5.4,0.1,1.3,1.7,1.7,4.9
2009,1.2,2.3,1.5,0.3,3.1,0.2,2.2,5.0,0.5,4.2,0.2,2.1,0.2,2.0,0.2,0.6,1.7,1.8,0.5,0.6,0.5,2.1,0.3,0.4,1.2,0.7,0.4,0.4,0.4,10.8,0.6,3.6,1.1,0.9,0.5,8.7,1.8,1.2,3.0,0.5,14.4,1.7,1.8,1.7,0.4,5.6,0.1,1.5,1.8,1.7,4.6
2010,1.2,2.3,1.5,0.3,3.1,0.2,2.4,4.8,0.5,4.0,0.2,1.8,0.2,2.2,0.2,0.6,1.8,1.9,0.5,0.5,0.5,2.2,0.3,0.4,1.2,0.7,0.4,0.4,0.4,10.5,0.6,3.5,1.1,1.0,0.5,8.9,1.8,1.2,3.0,0.5,15.4,1.6,1.9,1.8,0.4,5.8,0.1,1.4,1.8,1.8,4.4
2011,1.2,2.5,1.5,0.3,2.9,0.2,2.5,4.9,0.5,3.7,0.2,1.8,0.2,2.0,0.2,0.6,1.8,1.9,0.5,0.5,0.5,2.2,0.3,0.3,1.1,0.7,0.4,0.5,0.3,11.1,0.5,3.4,1.0,1.0,0.5,9.3,1.9,1.2,3.0,0.5,16.9,1.7,2.1,1.9,0.4,6.1,0.1,1.5,1.8,1.8,4.5
2012,1.1,2.7,1.5,0.3,2.8,0.2,2.5,5.0,0.6,3.6,0.2,1.9,0.2,2.2,0.2,0.6,1.7,1.9,0.6,0.5,0.5,2.2,0.3,0.3,1.1,0.7,0.4,0.5,0.4,11.5,0.6,3.5,0.9,1.0,0.5,9.6,1.9,1.2,2.8,0.5,16.7,1.7,1.7,1.9,0.4,6.3,0.1,1.5,2.0,1.8,4.6
2013,1.1,2.5,1.5,0.3,2.8,0.1,2.4,4.8,0.6,3.4,0.2,1.7,0.2,2.2,0.2,0.6,1.5,2.0,0.5,0.5,0.5,2.2,0.2,0.4,1.0,0.7,0.4,0.5,0.4,12.1,0.6,3.4,1.1,1.0,0.5,9.8,1.8,1.2,3.2,0.6,16.7,1.7,1.5,1.6,0.3,6.7,0.1,1.3,1.7,1.7,4.4
2014,1.0,2.7,1.5,0.3,3.1,0.1,2.3,4.4,0.6,3.2,0.2,1.8,0.2,2.1,0.2,0.6,1.4,2.0,0.5,0.6,0.4,2.1,0.2,0.4,1.0,0.6,0.4,0.6,0.3,12.1,0.6,3.4,1.3,0.8,0.5,9.2,1.8,1.2,3.3,0.6,16.6,1.6,1.5,1.6,0.3,6.5,0.1,1.1,1.7,1.8,4.4
2015,1.0,2.8,1.5,0.3,3.4,0.1,2.2,4.1,0.6,3.0,0.2,1.9,0.1,2.1,0.2,0.6,1.4,2.0,0.5,0.6,0.4,2.1,0.2,0.4,1.1,0.6,0.4,0.6,0.3,12.2,0.6,3.3,1.4,0.8,0.5,8.8,1.8,1.1,3.5,0.6,16.7,1.5,1.6,1.5,0.3,6.3,0.1,1.0,1.7,1.8,4.5
