Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,7.9,7.4,6.8,3.0,7.7,0.5,4.7,15.2,2.5,6.9,0.6,4.8,0.7,7.8,0.5,2.2,2.9,4.1,1.8,1.6,0.9,5.1,0.8,0.6,2.1,2.2,2.4,1.1,1.0,22.9,0.6,8.1,3.7,1.7,1.5,14.4,4.0,3.3,8.3,1.3,37.1,3.4,5.2,2.5,1.0,9.6,0.5,3.6,5.8,4.2,9.4
2001,8.1,8.8,7.4,3.2,8.1,0.5,5.0,16.7,2.7,7.3,0.7,4.5,0.8,8.1,0.6,2.4,3.0,4.8,1.9,1.7,0.9,5.8,0.9,0.7,2.3,2.5,4.5,1.3,1.0,25.8,0.7,8.9,4.0,2.0,1.6,16.0,4.5,3.4,8.6,1.3,49.3,3.3,6.2,2.9,1.1,10.3,0.6,3.8,5.5,4.3,10.3
2002,8.4,10.1,8.2,3.3,8.4,0.6,5.1,17.8,3.0,7.7,0.7,4.8,0.8,8.1,0.6,2.5,3.2,5.5,1.9,1.9,1.1,6.1,0.9,0.7,2.5,2.9,2.4,1.5,1.1,30.0,0.8,10.2,4.4,2.1,1.7,17.7,4.7,3.7,8.7,1.3,51.2,3.3,6.8,3.1,1.2,11.3,0.6,4.0,6.1,4.5,11.0
2003,9.5,9.7,8.1,3.5,8.4,0.5,5.3,18.4,2.8,7.7,0.6,4.7,0.7,7.8,0.5,2.5,3.4,5.2,1.8,1.8,1.1,5.5,0.8,0.7,2.5,2.7,2.1,1.4,1.0,28.3,0.8,11.0,4.4,2.4,1.5,18.1,5.0,3.5,8.7,1.3,51.0,3.2,6.6,2.7,1.2,11.1,0.6,3.9,4.9,4.5,9.4
2004,11.0,9.9,8.7,4.0,8.8,0.6,5.8,19.8,3.0,8.2,0.9,5.1,0.7,8.4,0.7,2.8,3.9,5.5,2.1,1.9,1.2,6.0,1.0,0.9,2.6,2.5,1.9,1.3,1.4,30.2,0.9,10.3,4.7,2.8,1.8,19.2,4.0,3.7,9.2,1.7,55.8,3.5,6.8,2.9,1.3,12.8,0.7,4.1,4.9,4.9,10.0
2005,9.9,10.1,8.6,3.9,9.5,0.6,6.1,25.6,3.2,9.0,0.8,5.2,0.8,8.8,0.7,2.8,4.2,6.0,2.1,2.1,1.3,5.8,1.1,1.0,2.8,2.5,1.9,1.3,1.4,30.8,0.9,10.8,4.5,2.9,1.8,19.9,4.2,3.9,8.6,1.6,56.2,3.7,7.2,2.9,1.4,12.1,0.8,4.5,5.4,4.6,9.9
2006,10.9,9.8,9.4,4.3,9.9,0.6,6.6,28.1,3.4,9.7,0.9,5.6,0.8,9.6,0.8,3.0,4.9,6.7,3.0,2.0,1.3,6.0,1.1,1.1,3.1,2.9,2.2,1.8,1.4,34.6,0.9,11.6,4.7,3.4,2.0,21.6,4.4,4.1,8.6,1.9,61.1,4.6,8.1,3.7,1.4,13.6,0.9,4.7,5.4,5.6,10.4
2007,14.1,11.5,10.5,5.0,10.5,0.6,6.7,28.5,3.7,9.5,1.0,5.8,0.9,10.5,0.9,3.2,5.3,7.2,4.5,2.3,1.4,6.9,1.3,1.3,3.3,3.1,2.6,1.9,1.4,36.1,1.0,12.0,4.5,2.9,2.2,23.6,4.3,4.6,9.4,2.2,67.6,5.6,8.6,3.7,1.4,15.1,1.0,5.3,6.0,5.8,11.5
2008,12.4,11.9,12.1,5.0,10.6,0.7,6.8,31.1,4.0,9.6,1.2,6.1,1.0,10.7,1.0,3.4,5.2,7.0,3.8,2.4,1.4,6.9,1.3,1.2,3.4,3.2,3.1,2.3,1.6,38.2,1.0,13.5,5.0,3.2,2.4,25.9,4.7,4.7,10.4,2.2,67.7,5.8,9.8,3.8,1.4,15.2,1.1,5.7,6.6,6.3,11.4
2009,13.1,13.2,11.1,5.5,11.2,0.7,7.0,31.8,4.1,10.7,1.0,6.5,1.1,10.9,1.1,3.9,6.3,7.9,3.6,2.6,1.5,7.5,1.4,1.2,3.8,4.4,3.6,1.7,1.5,37.9,1.1,13.9,5.6,3.1,2.2,29.2,4.9,4.8,10.0,2.4,70.8,6.9,10.0,3.8,1.5,16.6,1.3,6.8,6.8,6.8,11.9
2010,12.2,13.0,11.1,5.4,11.2,0.8,7.2,30.3,4.1,11.0,1.3,6.6,1.3,10.2,1.1,3.9,6.9,7.5,3.5,2.6,1.8,7.5,1.4,1.2,3.5,4.0,3.1,1.7,1.6,38.6,1.0,13.7,5.3,3.2,2.5,30.6,4.9,4.8,9.9,2.5,69.6,6.7,8.6,4.3,1.5,16.4,1.4,5.8,6.7,7.0,13.3
2011,12.8,13.0,11.0,5.7,11.0,0.8,7.5,29.4,4.3,10.9,1.3,6.9,1.4,10.4,1.2,4.2,7.0,7.3,3.4,2.5,1.9,8.0,1.3,1.2,3.6,3.9,3.0,1.7,1.6,40.0,1.0,13.6,5.4,3.1,2.6,29.2,5.0,4.8,10.2,2.4,68.5,6.8,8.2,4.5,1.5,17.1,1.5,5.7,6.7,7.1,12.9
2012,12.8,12.6,10.9,5.8,10.2,0.8,7.6,29.3,4.4,11.2,1.4,6.3,1.6,10.8,1.1,4.5,6.7,6.9,3.4,2.6,1.8,7.7,1.4,1.1,3.5,3.8,3.1,1.9,1.8,41.6,1.1,13.7,5.6,3.0,2.5,28.8,5.3,4.9,10.3,2.2,62.6,6.3,8.0,4.6,1.5,16.7,1.4,5.6,7.0,7.2,12.8
2013,12.6,13.6,10.5,5.9,10.3,0.8,8.5,29.0,4.4,12.1,1.3,6.7,1.5,10.1,1.2,4.2,6.8,6.1,3.1,2.4,1.9,7.7,1.5,1.1,3.4,4.2,3.3,2.1,1.8,41.5,1.1,14.1,5.5,2.9,2.5,30.6,5.2,4.7,10.4,2.2,64.2,7.1,8.5,4.3,1.6,16.8,1.5,6.3,7.2,7.9,13.0
2014,12.7,13.7,9.9,5.8,10.4,0.8,8.6,27.8,4.4,11.6,1.4,6.7,1.5,9.6,1.2,4.0,6.2,6.4,3.0,2.7,1.9,8.0,1.5,1.1,3.5,3.7,4.1,3.3,1.7,37.9,1.1,15.7,5.5,3.0,2.6,31.4,5.5,4.9,10.7,2.2,62.2,6.9,8.1,4.2,1.5,18.1,1.4,6.1,7.7,7.8,12.7
2015,12.9,14.0,9.5,5.8,10.5,0.8,8.8,27.8,4.5,11.5,1.4,6.9,1.6,9.4,1.2,4.0,6.0,6.6,3.0,2.8,1.9,8.2,1.5,1.1,3.6,3.6,4.3,4.0,1.7,36.9,1.2,16.7,5.5,3.1,2.7,32.2,5.8,5.1,10.9,2.2,64.9,6.9,7.8,4.1,1.4,18.9,1.4,6.1,8.1,7.8,12.6
