Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,1.0,2.9,1.6,0.3,7.6,0.1,1.6,2.5,0.5,2.6,0.3,2.1,0.3,2.0,0.2,0.7,1.7,1.0,0.7,0.5,0.2,1.5,0.3,0.2,0.6,1.1,0.5,0.0,0.9,14.6,0.4,3.4,1.2,0.4,0.5,5.5,1.6,2.1,3.4,0.6,15.2,1.4,1.2,1.3,0.5,5.2,0.2,1.1,2.3,1.8,4.5
2001,1.1,3.0,2.0,0.3,7.7,0.1,1.7,3.4,0.5,2.8,0.3,2.8,0.2,2.1,0.2,0.8,1.9,1.1,0.8,0.5,0.2,1.7,0.4,0.2,0.6,1.2,0.5,0.0,1.0,15.6,0.4,3.7,1.3,0.5,0.5,6.1,1.8,2.2,3.7,0.7,16.7,1.7,1.5,1.4,0.4,5.6,0.2,1.2,2.5,2.0,4.4
2002,1.2,3.2,2.2,0.3,9.3,0.1,1.9,3.7,0.6,3.0,0.4,3.0,0.2,2.3,0.2,0.8,2.0,1.1,0.9,0.6,0.3,2.2,0.4,0.3,0.7,1.2,0.5,0.0,1.7,15.8,0.5,4.2,1.4,0.5,0.6,6.9,1.9,2.2,3.8,0.7,18.6,1.9,1.6,1.5,0.4,6.2,0.3,1.5,2.7,2.1,5.3
2003,1.3,4.0,2.5,0.3,9.9,0.1,2.1,5.2,0.7,3.2,0.4,3.2,0.2,2.5,0.2,0.9,2.2,1.1,1.0,0.6,0.3,2.4,0.4,0.3,0.7,1.2,0.8,0.0,1.8,17.0,0.6,4.9,1.0,0.6,0.7,7.6,2.0,2.6,4.8,0.8,20.9,2.1,1.8,1.7,0.4,6.9,0.3,1.7,2.8,2.2,5.8
2004,1.4,3.6,2.7,0.3,10.6,0.1,2.3,5.0,0.7,3.7,0.4,3.3,0.2,2.8,0.2,0.9,2.3,1.2,1.2,0.7,0.3,2.7,0.4,0.3,0.8,1.5,0.9,0.0,1.1,18.6,0.6,5.3,1.5,0.7,0.7,8.3,2.2,3.1,4.5,0.9,23.8,2.3,1.9,2.0,0.5,7.7,0.3,1.9,2.9,2.5,6.3
2005,1.5,3.7,3.0,0.4,9.7,0.1,2.5,5.3,0.8,3.8,0.5,3.2,0.3,3.0,0.3,1.0,2.4,1.3,1.2,0.7,0.3,3.0,0.5,0.3,0.9,1.6,0.8,0.0,0.7,19.4,0.7,5.9,1.6,0.8,0.8,9.1,2.3,3.1,4.7,0.9,25.3,2.4,2.3,2.1,0.5,8.5,0.3,2.0,3.0,2.7,7.0
2006,1.6,3.9,3.2,0.4,10.9,0.1,2.8,5.6,0.9,3.7,0.5,3.4,0.3,3.2,0.3,1.1,2.6,1.5,1.3,0.7,0.4,3.2,0.5,0.4,1.0,1.6,0.9,0.0,0.4,20.0,0.7,6.3,2.0,0.9,0.9,9.6,2.5,3.0,5.4,1.0,26.7,2.7,2.5,2.3,0.5,9.2,0.4,2.0,3.3,2.9,7.4
2007,1.7,4.1,3.7,0.5,10.9,0.2,2.9,6.3,0.9,4.6,0.5,3.6,0.3,3.5,0.3,1.2,2.8,1.6,1.4,0.8,0.4,3.2,0.6,0.4,1.1,1.7,0.8,0.1,0.7,20.9,0.8,6.3,2.2,0.9,1.0,9.9,2.6,3.3,5.7,1.1,28.4,2.9,2.8,2.5,0.6,9.9,0.4,2.3,3.3,3.0,7.4
2008,1.8,4.4,4.4,0.5,11.6,0.2,3.1,6.7,1.0,4.8,0.6,4.1,0.3,3.8,0.3,1.2,2.9,1.7,1.5,0.8,0.4,3.5,0.6,0.4,1.1,1.8,0.8,0.1,0.7,23.2,0.9,6.4,2.4,1.1,1.0,10.9,2.8,3.6,5.9,1.2,30.6,3.2,3.1,2.6,0.6,10.6,0.4,2.4,3.4,3.2,8.7
2009,2.0,4.7,4.2,0.6,12.1,0.2,3.5,7.5,1.1,5.1,0.6,4.2,0.4,4.0,0.4,1.4,3.1,1.7,1.6,0.8,0.5,3.6,0.7,0.5,1.2,2.0,0.8,0.2,0.8,24.3,0.9,7.2,2.4,1.2,1.1,11.1,3.0,3.5,6.2,1.3,32.4,3.4,3.2,2.9,0.7,11.3,0.4,2.4,3.6,3.4,8.8
