Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,32.0,41.8,43.5,10.8,68.4,3.8,38.1,84.3,13.0,44.2,5.0,34.5,4.0,46.1,3.8,17.2,25.0,31.2,15.4,8.2,6.2,26.2,6.4,5.2,14.4,15.9,8.5,6.5,10.0,171.2,6.4,54.5,25.3,11.2,12.2,109.6,24.0,24.1,61.4,11.2,234.1,28.0,27.3,21.5,7.6,74.7,3.7,23.4,35.4,30.6,75.5
2001,34.1,45.8,47.9,11.6,72.9,4.0,41.4,92.6,14.2,48.2,5.3,36.9,4.1,49.3,4.1,18.4,25.5,33.7,16.2,8.6,6.5,29.4,7.1,5.5,15.9,18.9,9.1,7.2,10.9,183.5,7.2,58.5,26.8,12.7,13.4,118.3,25.9,25.4,66.2,11.8,265.7,30.3,29.2,23.3,8.0,80.9,4.0,25.6,37.3,33.1,79.7
2002,36.6,50.4,53.6,12.5,80.8,4.2,43.7,99.3,15.5,50.9,5.6,39.3,4.2,51.8,4.3,19.3,27.3,36.3,17.3,9.4,7.1,32.4,7.6,5.9,16.7,20.7,9.4,7.8,12.0,197.9,7.9,64.2,28.5,14.0,14.6,129.6,27.6,27.7,69.6,12.7,290.5,33.0,31.9,24.8,8.6,87.4,4.3,28.1,40.5,35.7,85.9
2003,39.1,53.2,55.7,13.3,85.6,4.7,45.9,108.3,15.9,51.4,5.9,40.8,4.3,53.0,4.5,19.9,28.5,37.6,18.3,9.6,7.7,33.3,7.9,6.2,17.6,21.2,10.0,8.1,12.6,209.9,8.3,69.7,29.7,14.9,15.4,139.3,29.6,27.8,72.9,13.4,310.1,34.4,33.7,25.7,9.2,91.3,4.8,29.6,41.8,37.5,91.9
2004,41.9,54.3,58.5,14.1,89.4,4.8,47.8,115.3,16.7,57.4,6.2,42.5,4.5,56.7,4.7,20.6,31.1,39.4,19.4,9.9,8.2,34.4,8.4,6.9,18.4,20.9,10.0,8.4,12.2,218.7,8.9,74.3,31.3,16.1,16.4,144.7,28.9,28.0,77.3,14.1,325.1,35.6,36.1,26.8,10.0,97.0,5.1,30.6,41.5,38.4,94.2
2005,42.8,55.8,60.7,14.3,92.0,5.2,51.5,130.9,17.2,57.7,6.4,43.1,4.8,60.1,5.0,21.4,32.6,42.2,20.0,10.5,8.7,35.1,8.9,7.6,18.9,22.0,10.0,8.9,12.1,226.2,9.2,78.5,31.8,17.4,16.7,152.0,29.6,29.1,76.1,15.4,339.1,37.2,39.5,27.3,10.2,97.7,5.6,33.0,42.9,41.4,101.3
2006,44.3,56.5,64.3,15.3,97.5,5.4,55.8,140.8,18.5,60.5,6.9,45.3,4.9,63.2,5.2,23.0,35.3,44.1,22.1,11.0,9.0,37.1,9.3,8.3,20.2,23.9,10.8,10.1,12.4,237.9,9.5,84.7,33.7,18.8,17.9,161.0,31.4,30.6,76.3,16.2,359.7,39.5,42.8,29.9,10.7,101.2,6.0,34.2,44.5,44.2,104.1
2007,49.3,62.1,73.6,16.7,100.1,5.8,59.1,148.9,20.0,65.4,7.4,46.8,5.2,67.2,5.6,24.2,40.0,46.6,24.7,12.3,9.4,40.3,9.9,8.7,21.8,26.0,11.7,10.6,13.0,249.3,10.0,86.5,35.8,20.0,19.1,171.2,32.7,32.3,80.8,18.3,386.5,41.9,47.1,31.7,10.8,109.4,6.7,37.0,47.2,47.8,108.1
2008,49.6,66.5,77.7,17.6,102.8,6.1,63.3,158.7,22.2,68.2,8.1,49.3,5.6,72.0,5.9,25.8,46.9,48.9,25.2,13.4,10.0,42.8,10.8,9.1,23.6,27.4,12.9,13.0,13.6,261.7,10.5,91.7,37.9,21.5,20.2,190.6,35.2,34.6,83.8,19.6,409.3,44.8,52.4,34.6,11.2,115.9,7.5,39.7,50.9,51.3,113.3
2009,52.8,72.5,76.2,18.8,108.0,6.4,65.3,160.5,24.0,73.1,8.5,52.8,6.1,76.8,6.5,28.3,48.0,51.5,26.2,14.3,10.6,45.7,11.6,9.4,25.8,30.1,14.5,12.6,14.6,278.7,10.7,96.7,41.2,22.5,20.7,204.0,37.6,37.6,86.3,21.2,425.8,48.4,53.9,36.0,11.9,124.5,8.4,42.1,54.4,54.7,120.5
