Year,TN,WA,GA,NE,OH,VT,VA,FL,UT,MA,MT,WI,ND,NC,SD,IA,LA,IN,MS,HI,NH,CO,ID,DE,KS,OK,AK,DC,WV,NY,RI,NJ,AL,NV,AR,TX,CT,OR,MI,NM,CA,MO,AZ,KY,ME,IL,WY,SC,MN,MD,PA
2000,18.4,38.7,29.9,6.6,42.1,2.8,31.5,78.5,12.4,55.2,3.8,25.6,2.8,29.1,3.3,7.3,18.0,19.9,8.5,7.9,7.0,23.2,3.4,4.6,10.4,11.4,7.3,5.1,7.1,177.5,6.9,50.3,16.8,13.2,7.8,100.2,23.5,15.6,47.2,7.7,177.9,19.3,23.6,23.4,5.8,67.6,2.4,18.7,27.4,23.8,73.3
2001,19.7,42.1,32.0,7.1,46.4,3.0,33.5,83.8,12.5,60.3,4.0,27.0,2.8,31.1,3.3,7.9,19.0,21.8,9.4,7.9,7.3,25.0,3.6,5.3,11.5,11.9,7.7,5.2,7.6,183.5,7.2,53.2,17.7,14.6,8.3,106.7,25.0,16.7,50.2,8.4,191.9,21.9,25.1,26.2,6.1,72.7,2.5,21.7,29.3,24.6,78.0
2002,21.1,45.6,34.3,7.9,51.3,3.2,35.4,90.3,13.2,65.3,4.0,30.3,2.9,33.5,3.5,9.5,21.0,24.1,9.9,8.4,7.2,28.5,4.0,5.5,12.5,12.5,8.6,5.4,8.1,195.3,7.3,57.6,19.1,15.8,8.8,119.2,27.8,18.8,54.3,8.6,209.7,24.2,26.6,27.1,6.3,80.9,2.4,22.8,32.0,25.7,83.8
2003,22.7,47.9,35.0,8.4,54.6,3.3,36.7,98.6,14.0,69.5,4.1,31.3,3.0,35.2,3.8,10.4,21.6,27.4,10.0,8.7,7.6,31.6,4.1,6.1,13.3,12.9,8.9,6.0,7.8,207.0,7.8,60.6,20.2,16.8,9.5,125.8,30.0,20.2,57.0,8.8,246.9,26.7,28.2,27.6,6.6,96.6,2.1,24.7,33.5,26.7,90.9
2004,24.4,50.4,34.8,8.8,57.6,3.3,40.1,109.9,14.3,79.1,4.3,35.3,3.1,38.0,3.8,11.3,22.2,31.2,10.3,9.1,8.8,33.9,4.0,6.1,16.1,13.3,8.6,6.5,8.1,221.4,8.2,69.1,21.6,18.1,10.4,146.8,30.9,24.8,61.7,9.7,270.4,30.4,29.8,29.1,6.9,102.3,1.8,26.7,33.7,29.4,96.4
2005,25.8,53.0,39.0,8.6,60.7,3.6,44.5,113.3,14.8,82.0,5.4,36.9,3.3,40.9,3.8,11.6,24.8,32.1,10.2,9.3,9.3,39.4,4.0,6.2,17.6,14.4,8.8,6.7,8.5,232.9,8.7,72.9,22.5,18.7,11.2,152.1,31.2,25.9,67.0,10.4,286.8,31.3,32.8,30.2,7.0,106.7,1.9,29.9,36.3,29.5,100.5
2006,28.2,56.7,42.1,9.5,63.7,3.9,46.4,119.8,15.3,85.4,5.8,38.8,3.5,43.9,4.6,13.8,24.7,34.3,11.2,9.5,10.0,39.7,4.4,6.1,19.9,15.2,9.4,8.0,8.9,241.4,8.9,81.7,22.3,20.6,11.8,167.6,32.2,26.9,69.1,10.7,300.7,33.9,34.4,32.4,7.5,110.8,1.9,32.2,36.6,30.7,106.8
2007,35.0,61.4,46.5,11.6,67.0,4.2,50.4,134.9,15.9,89.3,6.2,41.5,3.7,50.1,4.8,14.9,27.7,41.2,12.5,10.4,10.3,46.3,5.1,7.4,21.2,16.6,9.9,8.9,9.0,263.3,10.5,85.7,24.4,22.1,12.1,186.7,32.5,29.7,73.4,12.2,330.5,38.9,39.1,38.0,8.0,116.7,2.2,33.9,38.7,34.9,111.2
2008,35.5,64.6,49.5,13.5,69.9,4.7,54.2,146.5,16.8,92.7,6.5,42.1,4.0,51.3,5.4,15.5,33.2,46.4,13.3,10.7,10.6,47.7,5.7,7.9,25.4,17.0,10.0,9.6,9.8,273.2,11.5,88.0,27.0,24.9,13.0,216.4,36.6,30.1,76.2,14.2,341.0,41.3,43.5,37.1,8.0,123.9,2.3,34.9,41.7,40.5,119.3
2009,36.5,66.7,53.6,13.6,75.6,4.4,58.7,148.4,18.1,97.6,6.1,41.2,4.1,51.6,5.6,15.5,34.5,51.2,13.4,11.5,11.0,50.3,5.9,8.2,26.7,18.3,10.1,9.8,9.9,297.3,11.7,92.6,27.6,25.9,13.0,231.2,38.1,33.3,80.1,16.2,374.8,42.6,48.6,39.3,7.9,128.3,2.3,40.2,43.8,40.9,119.3
